16/01/2017 17:23:29.074000
1600
408
 	Служебный канал                 	Напряжение статора              	Ток статора                     	Активная мощность               	
0	0,0	0	0	0,02	
1	0,0	0	0	0,02	
2	0,0	0	0	0,02	
3	0,0	0	0	0,02	
4	0,0	0	0	0,02	
5	0,0	0	0	0,02	
6	0,0	0	0	0,02	
7	0,0	0	0	0,02	
8	0,0	0	0	0,02	
9	0,0	0	0	0,02	
10	0,0	0	0	0,02	
11	0,0	0	0	0,02	
12	0,0	0	0	0,02	
13	0,0	0	0	0,02	
14	0,0	0	0	0,02	
15	0,0	0	0	0,02	
16	0,0	0	0	0,02	
17	0,0	0	0	0,02	
18	0,0	0	0	0,02	
19	0,0	0	0	0,02	
20	0,0	0	0	0,02	
21	0,0	0	0	0,02	
22	0,0	0	0	0,02	
23	0,0	0	0	0,02	
24	0,0	0	0	0,02	
25	0,0	0	0	0,02	
26	0,0	0	0	0,02	
27	0,0	0	0	0,02	
28	0,0	0	0	0,02	
29	0,0	0	0	0,02	
30	0,0	0	0	0,02	
31	0,0	0	0	0,02	
32	0,0	0	0	0,02	
33	0,0	0	0	0,02	
34	0,0	0	0	0,02	
35	0,0	0	0	0,02	
36	0,0	0	0	0,02	
37	0,0	0	0	0,02	
38	0,0	0	0	0,02	
39	0,0	0	0	0,02	
40	0,0	0	0	0,02	
41	0,0	0	0	0,02	
42	0,0	0	0	0,02	
43	0,0	0	0	0,02	
44	0,0	0	0	0,02	
45	0,0	0	0	0,02	
46	0,0	0	0	0,02	
47	0,0	0	0	0,02	
48	0,0	0	0	0,02	
49	0,0	0	0	0,02	
50	0,0	0	0	0,02	
51	0,0	0	0	0,02	
52	0,0	0	0	0,02	
53	0,0	0	0	0,02	
54	0,0	0	0	0,02	
55	0,0	0	0	0,02	
56	0,0	0	0	0,02	
57	0,0	0	0	0,02	
58	0,0	0	0	0,02	
59	0,0	0	0	0,02	
60	0,0	0	0	0,02	
61	0,0	0	0	0,02	
62	0,0	0	0	0,02	
63	0,0	0	0	0,02	
64	0,0	0	0	0,02	
65	0,0	0	0	0,02	
66	0,0	0	0	0,02	
67	0,0	0	0	0,02	
68	0,0	0	0	0,02	
69	0,0	0	0	0,02	
70	0,0	0	0	0,02	
71	0,0	0	0	0,02	
72	0,0	0	0	0,02	
73	0,0	0	0	0,02	
74	0,0	0	0	0,02	
75	0,0	0	0	0,02	
76	0,0	0	0	0,02	
77	0,0	0	0	0,02	
78	0,0	0	0	0,02	
79	0,0	0	0	0,02	
80	0,0	0	0	0,02	
81	0,0	0	0	0,02	
82	0,0	0	0	0,02	
83	0,0	0	0	0,02	
84	0,0	0	0	0,02	
85	0,0	0	0	0,02	
86	0,0	0	0	0,02	
87	0,0	0	0	0,02	
88	0,0	0	0	0,02	
89	0,0	0	0	0,02	
90	0,0	0	0	0,02	
91	0,0	0	0	0,02	
92	0,0	0	0	0,02	
93	0,0	0	0	0,02	
94	0,0	0	0	0,02	
95	0,0	0	0	0,02	
96	0,0	0	0	0,02	
97	0,0	0	0	0,02	
98	0,0	0	0	0,02	
99	0,0	0	0	0,02	
100	0,0	0	0	0,02	
101	0,0	0	0	0,02	
102	0,0	0	0	0,02	
103	0,0	0	0	0,02	
104	0,0	0	0	0,02	
105	0,0	0	0	0,02	
106	0,0	0	0	0,02	
107	0,0	0	0	0,02	
108	0,0	0	0	0,02	
109	0,0	0	0	0,02	
110	0,0	0	0	0,02	
111	0,0	0	0	0,02	
112	0,0	0	0	0,02	
113	0,0	0	0	0,02	
114	0,0	0	0	0,02	
115	0,0	0	0	0,02	
116	0,0	0	0	0,02	
117	0,0	0	0	0,02	
118	0,0	0	0	0,02	
119	0,0	0	0	0,02	
120	0,0	0	0	0,02	
121	0,0	0	0	0,02	
122	0,0	0	0	0,02	
123	0,0	0	0	0,02	
124	0,0	0	0	0,02	
125	0,0	0	0	0,02	
126	0,0	0	0	0,02	
127	0,0	0	0	0,02	
128	0,0	0	0	0,02	
129	0,0	0	0	0,02	
130	0,0	0	0	0,02	
131	0,0	0	0	0,02	
132	0,0	0	0	0,02	
133	0,0	0	0	0,02	
134	0,0	0	0	0,02	
135	0,0	0	0	0,02	
136	0,0	0	0	0,02	
137	0,0	0	0	0,02	
138	0,0	0	0	0,02	
139	0,0	0	0	0,02	
140	0,0	0	0	0,02	
141	0,0	0	0	0,02	
142	0,0	0	0	0,02	
143	0,0	0	0	0,02	
144	0,0	0	0	0,02	
145	0,0	0	0	0,02	
146	0,0	0	0	0,02	
147	0,0	0	0	0,02	
148	0,0	0	0	0,02	
149	0,0	0	0	0,02	
150	0,0	0	0	0,02	
151	0,0	0	0	0,02	
152	0,0	0	0	0,02	
153	0,0	0	0	0,02	
154	0,0	0	0	0,02	
155	0,0	0	0	0,02	
156	0,0	0	0	0,02	
157	0,0	0	0	0,02	
158	0,0	0	0	0,02	
159	0,0	0	0	0,02	
160	0,0	0	0	0,02	
161	0,0	0	0	0,02	
162	0,0	0	0	0,02	
163	0,0	0	0	0,02	
164	0,0	0	0	0,02	
165	0,0	0	0	0,02	
166	0,0	0	0	0,02	
167	0,0	0	0	0,02	
168	0,0	0	0	0,02	
169	0,0	0	0	0,02	
170	0,0	0	0	0,02	
171	0,0	0	0	0,02	
172	0,0	0	0	0,02	
173	0,0	0	0	0,02	
174	0,0	0	0	0,02	
175	0,0	0	0	0,02	
176	0,0	0	0	0,02	
177	0,0	0	0	0,02	
178	0,0	0	0	0,02	
179	0,0	0	0	0,02	
180	0,0	0	0	0,02	
181	0,0	0	0	0,02	
182	0,0	0	0	0,02	
183	0,0	0	0	0,02	
184	0,0	0	0	0,02	
185	0,0	0	0	0,02	
186	0,0	0	0	0,02	
187	0,0	0	0	0,02	
188	0,0	0	0	0,02	
189	0,0	0	0	0,02	
190	0,0	0	0	0,02	
191	0,0	0	0	0,02	
192	0,0	0	0	0,02	
193	0,0	0	0	0,02	
194	0,0	0	0	0,02	
195	0,0	0	0	0,02	
196	0,0	0	0	0,02	
197	0,0	0	0	0,02	
198	0,0	0	0	0,02	
199	0,0	0	0	0,02	
200	0,0	0	0	0,02	
201	0,0	0	0	0,02	
202	0,0	0	0	0,02	
203	0,0	0	0	0,02	
204	0,0	0	0	0,02	
205	0,0	0	0	0,02	
206	0,0	0	0	0,02	
207	0,0	0	0	0,02	
208	0,0	0	0	0,02	
209	0,0	0	0	0,02	
210	0,0	0	0	0,02	
211	0,0	0	0	0,02	
212	0,0	0	0	0,02	
213	0,0	0	0	0,02	
214	0,0	0	0	0,02	
215	0,0	0	0	0,02	
216	0,0	0	0	0,02	
217	0,0	0	0	0,02	
218	0,0	0	0	0,02	
219	0,0	0	0	0,02	
220	0,0	0	0	0,02	
221	0,0	0	0	0,02	
222	0,0	0	0	0,02	
223	0,0	0	0	0,02	
224	0,0	0	0	0,02	
225	0,0	0	0	0,02	
226	0,0	0	0	0,02	
227	0,0	0	0	0,02	
228	0,0	0	0	0,02	
229	0,0	0	0	0,02	
230	0,0	0	0	0,02	
231	0,0	0	0	0,02	
232	0,0	0	0	0,02	
233	0,0	0	0	0,02	
234	0,0	0	0	0,02	
235	0,0	0	0	0,02	
236	0,0	0	0	0,02	
237	0,0	0	0	0,02	
238	0,0	0	0	0,02	
239	0,0	0	0	0,02	
240	0,0	0	0	0,02	
241	0,0	0	0	0,02	
242	0,0	0	0	0,02	
243	0,0	0	0	0,02	
244	0,0	0	0	0,02	
245	0,0	0	0	0,02	
246	0,0	0	0	0,02	
247	0,0	0	0	0,02	
248	0,0	0	0	0,02	
249	0,0	0	0	0,02	
250	0,0	0	0	0,02	
251	0,0	0	0	0,02	
252	0,0	0	0	0,02	
253	0,0	0	0	0,02	
254	0,0	0	0	0,02	
255	0,0	0	0	0,02	
256	0,0	0	0	0,02	
257	0,0	0	0	0,02	
258	0,0	0	0	0,02	
259	0,0	0	0	0,02	
260	0,0	0	0	0,02	
261	0,0	0	0	0,02	
262	0,0	0	0	0,02	
263	0,0	0	0	0,02	
264	0,0	0	0	0,02	
265	0,0	0	0	0,02	
266	0,0	0	0	0,02	
267	0,0	0	0	0,02	
268	0,0	0	0	0,02	
269	0,0	0	0	0,02	
270	0,0	0	0	0,02	
271	0,0	0	0	0,02	
272	0,0	0	0	0,02	
273	0,0	0	0	0,02	
274	0,0	0	0	0,02	
275	0,0	0	0	0,02	
276	0,0	0	0	0,02	
277	0,0	0	0	0,02	
278	0,0	0	0	0,02	
279	0,0	0	0	0,02	
280	0,0	0	0	0,02	
281	0,0	0	0	0,02	
282	0,0	0	0	0,02	
283	0,0	0	0	0,02	
284	0,0	0	0	0,02	
285	0,0	0	0	0,02	
286	0,0	0	0	0,02	
287	0,0	0	0	0,02	
288	0,0	0	0	0,02	
289	0,0	0	0	0,02	
290	0,0	0	0	0,02	
291	0,0	0	0	0,02	
292	0,0	0	0	0,02	
293	0,0	0	0	0,02	
294	0,0	0	0	0,02	
295	0,0	0	0	0,02	
296	0,0	0	0	0,02	
297	0,0	0	0	0,02	
298	0,0	0	0	0,02	
299	0,0	0	0	0,02	
300	0,0	0	0	0,02	
301	0,0	0	0	0,02	
302	0,0	0	0	0,02	
303	0,0	0	0	0,02	
304	0,0	0	0	0,02	
305	0,0	0	0	0,02	
306	0,0	0	0	0,02	
307	0,0	0	0	0,02	
308	0,0	0	0	0,02	
309	0,0	0	0	0,02	
310	0,0	0	0	0,02	
311	0,0	0	0	0,02	
312	0,0	0	0	0,02	
313	0,0	0	0	0,02	
314	0,0	0	0	0,02	
315	0,0	0	0	0,02	
316	0,0	0	0	0,02	
317	0,0	0	0	0,02	
318	0,0	0	0	0,02	
319	0,0	0	0	0,02	
320	0,0	0	0	0,02	
321	0,0	0	0	0,02	
322	0,0	0	0	0,02	
323	0,0	0	0	0,02	
324	0,0	0	0	0,02	
325	0,0	0	0	0,02	
326	0,0	0	0	0,02	
327	0,0	0	0	0,02	
328	0,0	0	0	0,02	
329	0,0	0	0	0,02	
330	0,0	0	0	0,02	
331	0,0	0	0	0,02	
332	0,0	0	0	0,02	
333	0,0	0	0	0,02	
334	0,0	0	0	0,02	
335	0,0	0	0	0,02	
336	0,0	0	0	0,02	
337	0,0	0	0	0,02	
338	0,0	0	0	0,02	
339	0,0	0	0	0,02	
340	0,0	0	0	0,02	
341	0,0	0	0	0,02	
342	0,0	0	0	0,02	
343	0,0	0	0	0,02	
344	0,0	0	0	0,02	
345	0,0	0	0	0,02	
346	0,0	0	0	0,02	
347	0,0	0	0	0,02	
348	0,0	0	0	0,02	
349	0,0	0	0	0,02	
350	0,0	0	0	0,02	
